Years,GDP,Agriculture,Arable Land,Birth Rate,Death Rate,Individuals using Internet,Industry,Mobile Subscriptions,Mortality Rate,Cropland,Population Density,Population,Services,Surface Area
1990,360857912565.966,26.5843081183771,13.1866961361276,21.06,6.67,0.0,41.0329773968387,0.001556568,42.1,0.798870929086891,120.915506084734,1135185000.0,32.3829941062899,9562950.0
1993,444731282436.762,19.3074684032255,12.920405826432,18.09,6.64,0.00016868,46.1766423579851,0.052345838,40.1,0.926690277740793,125.522861023087,1178440000.0,34.5160779564899,9562950.0
1994,564324670005.917,19.4742827282163,12.856496152105,17.7,6.49,0.001168115,46.162987257572,0.127477599,39.0,0.990599952067744,126.949644502437,1191835000.0,34.3626154029407,9562950.0
1995,734547898220.508,19.596519610246,12.7372116605455,17.12,6.57,0.00495471,46.7504903825002,0.292444189,37.7,1.10989919303299,128.336621134526,1204855000.0,33.6529777770398,9562940.0
1996,863746717503.789,19.325485548039,12.7115547872176,16.98,6.56,0.013081692,47.1042895264897,0.54752332,36.4,1.13972495347898,129.688982907321,1217550000.0,33.5702291316367,9562930.0
1997,961603952951.82,17.8952767359584,12.7287039196952,16.57,6.51,0.032394861,47.0990140435312,1.048577006,35.0,1.17167985871671,131.023100200996,1230075000.0,35.0056882962293,9562930.0
1998,1029043097554.08,17.1590347601611,12.7659846424725,15.64,6.5,0.168540297,45.7976028700262,1.876048044,33.5,1.17167985871671,132.286384121395,1241935000.0,37.0433853592879,9562930.0
1999,1093997267271.06,16.0647884668303,12.7074006495367,14.64,6.46,0.708187957,45.3598886402964,3.37850167,31.9,1.17167985871671,133.436760709953,1252735000.0,38.5753224714051,9562930.0
2000,1211346869605.24,14.6762416552997,12.5870505804082,14.03,6.45,1.775913207,45.5361354102345,6.606481691,30.1,1.17168110674867,134.492481002789,1262645000.0,39.7876392045868,9562920.0
2001,1339395718865.3,13.9834613523738,12.3646516113987,13.38,6.43,2.639650215,44.7934341334633,11.14746235,28.2,1.17168180876781,135.473046225577,1271850000.0,41.2230854988227,9562914.375
2002,1470550015081.55,13.3014877128561,12.1961440878559,12.86,6.41,4.595704331,44.4505789634328,15.75742107,26.1,1.19298527322259,136.383780699482,1280400000.0,42.247936239481,9562913.125
2003,1660287965662.68,12.3489989653686,11.8978985616271,12.41,6.4,6.2,45.6228144470836,20.52400801,24.1,1.23559197238026,137.235922173683,1288400000.0,42.0281944118388,9562912.5
2004,1955347004963.27,12.9166481669765,11.8872469066928,12.29,6.42,7.3,45.9002262378984,25.3063175,22.2,1.27819859211751,138.053436689892,1296075000.0,41.1831646895005,9562912.5
2005,2285965892360.54,11.6414956027145,11.956483459743,12.4,6.51,8.523257003,47.0225901038159,29.56214176,20.3,1.31547947196281,138.867764954442,1303720000.0,41.3359243040985,9562911.875
2006,2752131773355.16,10.6257605277639,11.5783504552052,12.09,6.81,10.52315262,47.5573848602314,34.44822335,18.7,1.34210870041937,139.645345113,1311020000.0,41.8168236343468,9562911.25
2007,3550342425238.25,10.2461639965301,11.5554501633265,12.1,6.93,16.0,46.8841577490362,40.66184883,17.2,1.41134456066808,140.376590666872,1317885000.0,42.8696782544338,9562910.625
2008,4594306848763.08,10.169036531863,11.516145548769,12.14,7.06,22.6,46.971162550596,47.37436885,15.8,1.44862536038384,141.097707849945,1324655000.0,42.8597695935969,9562910.625
2009,5101702432883.45,9.63618203609171,11.4739642229504,12.13,7.08,28.9,45.9571493786399,54.89500349,14.7,1.49123188935485,141.801240358753,1331260000.0,44.4066685852684,9562911.25
2010,6087164527421.24,9.32516385425288,11.4207059411877,11.9,7.11,34.3,46.497822353867,62.75543093,13.6,1.54449017111753,142.487739610674,1337705000.0,44.1769895270617,9562911.25
2011,7551500425597.77,9.17766152491637,11.3461443467199,11.93,7.14,38.3,46.5292878102686,71.6494509,12.6,1.61905176558527,143.172108531324,1344130000.0,44.2930506648151,9562911.25
2012,8532230724141.76,9.11370641316053,11.2822344086047,12.1,7.15,42.30011749,45.4229826581009,80.34603793,11.6,1.68296170370048,143.871389770868,1350695000.0,45.4632923613948,9562911.25
2013,9570405758739.79,8.94289898597417,11.2609310958997,12.08,7.16,45.8,44.1767043890751,88.30574902,10.8,1.70426501640555,144.583452998035,1357380000.0,46.8803966249508,9562911.25
2014,10475682846632.2,8.64348810551755,11.2588007646292,12.37,7.16,47.9,43.0855653470499,91.89962887,9.9,1.70639534767605,145.317352120725,1364270000.0,48.2709465474326,9562911.25
2015,11061552790044.2,8.38700911159946,12.6754710595163,12.07,7.11,50.3,40.8413371576327,91.835388,9.2,1.70426501640555,146.057642237226,1371220000.0,50.7716537307678,9562911.25
2016,11233277146512.2,8.05728762152913,12.6648210894303,12.95,7.09,53.2,39.5806188974177,96.52661691,8.5,1.70426524332114,146.850677605209,1378665000.0,52.3620934810531,9562910.0
