Years,GDP,Agriculture,Arable Land,Birth Rate,Death Rate,Individuals using Internet,Industry,Mobile Subscriptions,Mortality Rate,Cropland,Population Density,Population,Services,Surface Area
1990,72629517014.0,0.323439581344345,1.49253731343284,18.2,4.7,0.0,30.8585476711641,1.716846456,6.1,1.49253731343284,4547.95820895522,3047132.0,64.1826128527513,680.0
1991,80107776740.0,0.250054747220624,1.49253731343284,17.1,4.6,0.161504498,32.6178847711057,2.641151806,5.5,0.298507467134675,4679.22835820895,3135083.0,62.8172155818229,680.0
1992,87373480323.0,0.197361758450875,1.49253731343284,16.8,4.7,0.471368155,32.2871354518713,3.750419578,5.0,0.298507467134675,4821.93731343284,3230698.0,62.4616993365536,680.0
1993,99696321683.0,0.172788647418229,1.49253731343284,16.8,4.6,0.763278139,32.1379735731406,5.414714168,4.6,0.298507467134675,4945.47910447761,3313471.0,62.0075344836918,680.0
1994,113125000000.0,0.173159173171612,1.49253731343284,16.2,4.7,1.185203797,31.3042288508592,6.8984335,4.2,0.298507467134675,5103.05671641791,3419048.0,61.8328396505188,680.0
1995,123814000000.0,0.144861979394729,1.49253731343284,15.6,4.8,2.873418722,31.4922551466979,8.678465409,4.0,0.298507467134675,5260.45671641791,3524506.0,61.6183244378062,680.0
1996,135501000000.0,0.150025188323224,1.49253731343284,15.2,4.7,8.34995903,31.5548560435773,11.8468347,3.8,0.298507467134675,5478.66268656716,3670704.0,62.0785374864116,680.0
1997,149306000000.0,0.132916824740826,1.49253731343284,14.5,4.5,13.47162042,31.070384032761,22.61642689,3.6,0.298507467134675,5665.72835820895,3796038.0,62.6299907711597,680.0
1998,147672000000.0,0.111378366529616,1.49253731343284,13.1,4.6,19.59076716,32.0879122410958,28.35485871,3.4,0.298507467134675,5861.51194029851,3927213.0,62.7222601305176,680.0
1999,158379000000.0,0.111245961607494,1.49253731343284,12.8,4.5,24.15543693,30.845626570486,41.23656076,3.2,0.298507467134675,5908.54179104478,3958723.0,63.0692808669937,680.0
2000,176555000000.0,0.092131732680321,1.49253731343284,13.7,4.5,36.0,32.4585044954973,68.19280141,3.0,0.298507467134675,6011.77164179105,4027887.0,60.6645197437217,680.0
2001,178499000000.0,0.0823566559095407,1.49253731343284,11.8,4.3,41.67042518,30.3796610759446,73.37487384,2.8,0.298507467134675,6176.13731343284,4138012.0,63.593634234512,680.0
2002,188421000000.0,0.0710328000140013,1.48148148148148,11.4,4.4,47.0,30.7456754181249,80.71787992,2.6,0.296296300711455,6186.59259259259,4175950.0,63.9769556802401,685.0
2003,200625000000.0,0.0611340723110266,0.873362518915236,10.5,4.5,53.83794329,30.2248029160953,86.62642506,2.5,0.291120832408347,5989.5577624262,4114826.0,64.3487252076354,696.9999695
2004,226257000000.0,0.0556489896262466,1.01596512710693,10.3,4.4,62.0,31.8858938554669,95.53498948,2.4,0.145137879935396,6047.40770351797,4166664.0,63.0725751287076,699.0000153
2005,250474000000.0,0.0550481142142599,0.957910031363566,10.2,4.4,61.0,31.4076522049802,102.7876635,2.3,0.145137879935396,6191.23643763313,4265762.0,64.0731843759255,699.0000153
2006,281292000000.0,0.0488654244516825,0.936599368684106,10.3,4.4,59.0,30.8942965496098,108.7741926,2.3,0.144092217999198,6342.02435623687,4401365.0,64.8768540490551,704.0000153
2007,314908000000.0,0.0428679973714474,1.0071942274519,10.3,4.5,69.9,28.2257709638809,129.3858643,2.2,0.143884894230383,6602.30071942446,4588599.0,66.0401485014903,705.0
2008,327031000000.0,0.0414321884664469,0.857142891202654,10.2,4.4,69.0,26.4153381596662,134.3187451,2.2,0.14285714498588,6913.42285714286,4839396.0,68.3479617553522,710.0
2009,329923000000.0,0.0406877612701381,0.857142891202654,9.9,4.3,69.0,27.0163193688262,138.6216042,2.2,0.14285714498588,7125.10428571429,4987573.0,68.0060695233087,710.0
2010,382249000000.0,0.0361795717843379,0.911680930936152,9.3,4.4,71.0,26.6366362968266,143.9164386,2.2,0.142450150765455,7231.81228019572,5076732.0,67.842813675817,711.9999695
2011,414967000000.0,0.0346645211472078,0.894886337466969,9.5,4.5,71.0,25.2604463868213,148.0782486,2.2,0.142045453583344,7363.19302222527,5183688.0,69.0222128999262,714.0000153
2012,435965000000.0,0.0333269608062467,0.89235128731987,10.1,4.5,72.0,25.022798732545,150.2492981,2.2,0.141643064662065,7524.69846291471,5312437.0,69.2079762345415,715.9999847
2013,448140000000.0,0.0344271823520807,0.806223504174585,9.3,4.6,80.90205685,23.4452229751166,154.7214323,2.2,0.141442723913162,7636.72168748833,5399162.0,70.7597858291482,716.9999695
2014,461772000000.0,0.0345909829328591,0.789844838268139,9.8,4.7,79.02923586,24.1695218849379,146.6584963,2.2,0.141043722620535,7714.70223171084,5469724.0,70.3441978263327,719.0000153
2015,481405000000.0,0.0326135138026483,0.789844838268139,9.7,4.8,79.012957,24.2884243752599,147.2259695,2.2,0.141043722620535,7806.77275159112,5535002.0,69.950579072893,719.0000153
2016,501213000000.0,0.0316206826523756,0.789844838268139,9.4,4.8,84.45226789,23.294947823602,149.6506495,2.2,0.141043722620535,7908.72056321932,5607283.0,70.6497368804834,719.0000153
