Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Arable land (% of land area),AG.LND.ARBL.ZS,Afghanistan,AFG,..,11.71767301,11.79425911,11.8708452,11.9474313,11.9474313,12.00104157,12.01482707,12.01482707,12.03933462,12.05465184,12.1006035,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,11.98419263,11.79885427,11.72226817,11.71307784,11.77128328,11.88156726,11.72226817,11.76821983,11.76821983,11.76056122,11.90454309,11.97193885,11.95508991,11.93824097,11.93824097,11.93824097,11.93670925,11.93670925,11.9336458,11.93211408,11.92445547,11.90301137,11.89382103,11.83867904,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Albania,ALB,..,15.76642336,15.91240876,16.05839416,16.16788321,16.78832117,17.33576642,17.81021898,18.24817518,18.61313869,19.01459854,19.34306569,19.7080292,20,20.32846715,20.54744526,20.98540146,21.16788321,21.27737226,21.27737226,21.35036496,21.45985401,21.49635036,21.49635036,21.49635036,21.49635036,21.49635036,21.53284672,21.53284672,21.24087591,21.13138686,21.09489051,21.09489051,21.05839416,21.05839416,21.05839416,21.05839416,21.09489051,21.05839416,21.05839416,21.09489051,21.09489051,21.09489051,21.09489051,21.09489051,19.6350365,21.31386861,21.09489051,22.26277372,22.22627737,22.84671533,22.70072993,22.59488962,22.52189692,22.46715239,22.44890422,22.63868569,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Algeria,DZA,..,2.717341104,2.645124993,2.603138882,2.574588326,2.604398465,2.611955965,2.645544854,2.621192909,2.616994298,2.623292215,2.678713881,2.733295826,2.734135548,2.747571103,2.873949298,2.977654992,2.898721103,2.89368277,2.874369159,2.886545131,2.890743742,2.889064298,2.767724437,2.903339575,2.90124027,2.925172353,2.967998186,2.981433742,2.993189853,2.97303652,3.048191658,3.174989713,3.162813741,3.139301519,3.156935686,3.157775408,3.211937491,3.216555963,3.221594297,3.216975824,3.183806797,3.168691797,3.150511893,3.146019297,3.153576797,3.136362491,3.13594263,3.144339852,3.146019297,3.149798047,3.149798047,3.151687422,3.147362934,3.136110534,3.13304563,3.108735712,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,American Samoa,ASM,..,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.000000238,6.000000238,6.000000238,7.5,10,10,12.00000048,12.5,12.5,12.5,12.5,16.69999957,16.49999976,16.49999976,16.49999976,15,14.80000019,15,15,15,15,15,15,15,15,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Andorra,AND,..,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,1.595744681,1.808510689,1.829787264,1.72340426,1.702127685,1.659574407,1.638297832,1.617021256,1.638297832,1.638297832,1.638297832,1.617021256,1.72340426,1.72340426,1.72340426,1.659574407,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Angola,AGO,..,2.141653966,2.165717494,2.181759846,2.205823374,2.221865726,2.245929253,2.269992781,2.294056309,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.366246892,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.48656453,2.646988048,2.646988048,2.646988048,2.646988048,2.727199807,2.727199807,3.208470362,3.288682121,3.769952675,3.769952675,3.930376193,3.930376193,3.930376193,3.930376193,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Antigua and Barbuda,ATG,..,18.18181818,15.90909091,18.18181818,15.90909091,18.18181818,18.18181818,15.90909091,15.90909091,18.18181818,18.18181818,15.90909091,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Argentina,ARG,..,6.795435362,7.008466432,7.1619365,7.308098469,7.476550139,7.895669586,8.163511395,8.71527283,9.462891303,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.865932934,9.865932934,9.865932934,9.865932934,9.865932934,9.792851949,9.634631617,9.672268324,9.710635841,9.749003358,9.787370875,9.825738392,9.865202124,9.904300451,9.943398777,9.982862509,10.02123003,10.06032835,10.09979208,10.13852501,10.18091198,10.48109212,11.24533652,12.02090847,12.7358232,13.31279758,12.88454301,12.53046564,13.8784444,14.17076834,14.52630733,14.50621006,14.323873,14.323873,14.323873,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.85774499,15.20899192,15.27924131,15.27924131,15.8061117,15.98173516,15.98173516,15.8061117,15.8061117,15.98173516,15.98173516,15.98173516,15.98173516,15.98173516,15.90797309,15.87987377,15.82016136,15.78503667,15.75342466,15.77801237,15.74991197,15.74288768,15.71829996,15.69020064,15.67966259,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Aruba,ABW,..,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,..,..,..,..
