Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8060.022791,8371.813642,8131.108636,8717.1935,8913.623025,9896.151541,10053.91711,11915.43693,13257.60762,12902.16044,14060.1138,14337.68416,14242.29977,14011.16339,13935.2653,13946.70321,13868.62616,13944.85198,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,207072.2488,214627.5874,216335.6797,214135.9738,207053.4325,206451.7449,213914.2643,208032.6993,201245.5861,215179.0602,191105.0308,138423.4493,129256.2855,142479.1381,155259.1771,177033.4941,194347.6883,174211.1203,190791.0584,216752.2962,233298.877,255021.6246,267400.1757,283245.3211,300103.7451,318324.2166,339239.1732,362252.9097,392421.4624,408310.1698,425553.2624,437560.4942,444496.5127,449773.5927,458703.515,470248.4081,486613.6029,505580.3932,527463.9126,541443.9818,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Algeria,DZA,75534.56778,63654.70641,49876.97224,65344.07695,67411.94834,69718.17099,64558.9508,68679.44026,73930.31298,77895.29609,82434.81789,71091.9262,88136.23968,89028.53366,93098.39466,95094.54892,100185.8006,102472.7623,108704.5551,113415.2903,110899.2521,110753.8792,114220.3632,116685.8117,119473.8242,120205.2377,117181.37,113072.5735,108877.2363,110667.3702,108726.1839,104810.8085,104218.9077,99788.56829,96863.65229,98642.46644,100902.215,100377.5911,103925.2879,105742.6467,108279.9483,110077.0268,114768.5962,121472.1247,125036.7288,130586.2053,130866.7294,133233.1263,134216.6148,134035.8686,136377.1756,137713.9511,139644.4207,140708.0573,143114.7975,145405.3188,147011.4193,145908.0993,145010.4971,143370.8745,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12474.6107,12486.55553,12516.5463,12491.18566,12062.86903,12456.09526,12314.75684,11961.25823,12143.58316,12249.14364,11730.46868,11397.69892,11489.30831,11646.24095,11338.15324,10697.59079,10961.86784,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,31455.47496,31265.58305,32137.55116,32996.39808,33329.82346,32217.26528,32158.89544,32068.62773,31606.12904,30637.57534,30229.86273,29036.16237,28185.00426,27453.50873,26740.17001,26199.00604,25936.5381,26280.37176,26535.41954,26748.14936,26710.00257,26345.10932,25588.86122,24459.72127,24361.00876,24572.88191,25511.68325,27839.27339,28811.53979,29886.31381,30458.17403,31977.10162,32138.50305,33437.18401,34705.41944,35362.19204,36089.78554,35900.77887,33428.72815,31430.80402,30815.16655,31070.96374,29998.18021,29526.08513,30861.97973,31786.92748,33270.63146,33514.11021,34044.36018,34612.79199,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49617.14367,45791.68813,44193.32271,44435.66436,45452.54826,45403.60687,45099.08959,45319.34888,46450.82241,44901.26776,41911.95141,40943.425,37308.89059,27454.95206,26939.39847,29999.57438,32985.37723,34264.50082,34732.11662,34355.17606,34263.12324,34544.80507,37979.85897,37815.84274,40533.68079,45004.88456,48417.30298,53205.77981,56992.36767,55391.6604,55989.41822,55865.76753,58495.06713,59250.87349,59973.63507,58493.05685,55090.9622,53212.41365,50465.56206,48430.48097,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12540.96037,13116.66462,14195.67941,15375.84246,15979.20691,15971.20953,16825.72898,18536.36359,19953.24497,22258.16461,23747.30093,24963.47045,26174.19659,26738.2436,26958.5715,26803.85445,27658.82755,28878.87179,27030.2563,28198.36974,29106.11681,29850.44111,30356.14404,31815.72432,29771.14438,29660.01022,31058.12232,32416.26295,34016.86982,37772.2323,40620.4163,39956.235,34572.38605,31488.39006,30447.94013,31072.4596,30512.15088,31312.41762,32161.36203,33584.5843,34314.65219,36521.09341,37892.04885,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Argentina,ARG,8931.451188,9264.486097,9039.738185,8426.10465,9137.034795,9949.935748,9737.358488,9900.796754,10226.22887,11049.46932,11212.94605,11662.30095,11662.9787,11797.91014,12252.33998,12057.79184,11634.99896,12256.65534,11531.50028,12520.64398,12516.93386,11682.24031,11412.64272,11718.72771,11712.65272,10928.77316,11418.85318,11545.15158,11244.60191,10284.22018,9885.798881,10638.5375,11328.72393,12099.40805,12644.54353,12134.69582,12653.40533,13522.03051,13884.54994,13265.97141,13017.24606,12308.18475,10849.07692,11681.91125,12603.02266,13577.17017,14521.53667,15672.25782,16147.04531,15040.29012,16439.0564,17226.27072,16856.71822,17070.0712,16459.20496,16727.43474,16207.20083,16468.02046,15897.01223,15399.42758,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,736945.0856,656832.5515,389209.724,363372.1603,392259.9592,427969.4294,460096.9598,480707.6526,519848.1379,540421.738,575929.4127,635130.0691,722926.8,828518.392,920764.1651,1055592.854,1204206.013,1381175.931,1489171.972,1287847.214,1321107.775,1383575.389,1479237.779,1521009.812,1567748.292,1610643.904,1608042.704,1723560.599,1808906.135,1942464.217,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20353.10644,23935.43901,28749.65209,32261.76432,32936.97405,34198.87964,34293.25126,34632.572,35423.72881,34687.09103,33885.14904,35317.46849,35267.36024,35010.80501,36911.05412,35025.93705,33132.47747,33081.80113,35077.21016,35043.90139,35130.06823,35625.40554,35545.33239,31775.64339,30540.28268,31476.00102,30889.23557,31999.14695,31904.93765,33540.26222,34071.21634,34589.70541,..,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Australia,AUS,25233.74499,25351.52151,25060.88252,26112.69406,27392.13755,28467.77309,28488.11261,29903.72065,30878.00816,32368.50689,34013.27257,34199.2734,34890.11156,35258.74439,35788.16585,35827.46707,36387.87145,37274.59132,37174.04931,38261.47168,38944.73183,39611.10739,40252.66834,38869.73778,40192.80751,41728.13809,42707.07436,43136.3941,44872.49126,45824.47188,46763.4529,45987.79218,45620.57731,46996.77365,48353.96248,49605.96503,50857.40812,52286.43949,54112.50067,56212.03635,57730.48609,58057.07516,59647.65869,60675.33199,62408.30907,63563.50638,64383.00504,66441.74077,67505.64727,67409.42388,67741.1463,68451.67221,69902.63033,70485.85729,71201.36979,71722.84845,72567.68008,73044.92425,74046.4757,74315.80922,..
