Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.81012701,22.71086418,26.22678975,26.81209923,28.21076807,26.88224161,26.915628,21.89712221,21.1514207,22.74025248,21.15780715,20.44460531,21.22966322,22.12404249,21.82322278,22.12766961,22.2799116,22.08905331,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.37366346,18.10957749,15.34689204,16.53644764,19.39564563,21.73566042,23.10639541,24.05558276,24.66552309,25.0817045,25.30818687,25.3402999,25.16102027,24.41365129,24.93746701,24.48440752,22.91851392,23.0613369,21.50885789,21.76366248,21.14194326,20.35840829,21.28401884,20.0573246,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.35544438,54.37260513,50.10645344,49.1929778,50.82438504,52.30196289,57.33403861,58.8837264,57.67195201,58.61894112,47.89526485,50.49534674,49.62711632,47.85282886,44.25302891,42.3124474,35.72612444,34.70076393,37.40424318,39.59998223,37.4112173,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.28517579,67.82067594,60.75774139,55.1572893,72.71737231,72.12295494,64.88381154,56.07579654,53.11699639,54.62992131,60.40199346,58.10933117,61.88353785,60.25482013,44.05637617,52.36843489,56.02651474,56.91821975,53.36285398,46.20332557,41.93309265,42.64356678,42.16795355,47.93154163,..,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.53110189,10.37716942,11.58806231,13.06451254,13.31378154,10.41335824,10.22115171,10.91623254,11.72984946,12.9576021,13.80335868,14.23632716,15.25180155,13.91021196,14.56416008,13.4824356,12.70763717,12.52557479,12.69588325,12.24718856,12.51282197,12.65880381,13.51181839,13.82711393,12.8781391,13.04232482,13.19529465,13.05575514,14.5297874,18.46274484,17.75960835,19.15681322,19.48801069,16.20414704,14.53076878,14.28549382,15.68226063,16.18863876,16.45797948,17.93837237,19.22069665,21.14888871,21.43645698,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Argentina,ARG,..,..,..,..,..,48.41447642,49.60581466,47.38341438,47.03606529,47.3861283,42.27878963,45.95472845,45.58164895,43.35223993,43.59280262,50.14132368,50.89369683,47.80613219,46.09764801,44.0281238,41.21966567,40.33822671,41.10284864,41.55630651,39.70818793,39.27615457,37.38043489,37.82867527,38.48661108,42.34781307,36.02188135,32.72252826,30.6839549,27.33873965,26.75455869,26.30121034,26.59256064,27.17915089,26.71213576,26.1936305,25.99083601,25.24343398,30.55773709,32.6450991,28.81692201,28.62631404,29.20327967,27.41523613,26.27245994,25.2842048,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.8690651,22.96727734,23.13191725,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.82709461,26.70904814,25.27053295,25.70869944,25.57713304,25.80953238,24.75655785,24.28740021,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.39864193,14.98666062,17.13271922,17.51366368,15.54927184,15.82535158,15.91134711,15.28342446,16.79270315,17.59771873,18.50441035,19.57276498,18.98011109,18.03140008,16.175408,..,..,..,..,..,..,..,..,..,..,..
