Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.1511546,37.44480384,41.11089534,39.00778718,39.83102433,40.29468522,45.40983087,45.24443493,48.87937691,49.6968204,50.57939792,52.68274347,52.99086504,53.2352935,52.76171923,52.65543115,52.63483103,52.08387964,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.77290526,42.31565732,43.99425218,46.8340281,44.30280277,44.94278371,43.77631096,41.91149842,42.5803439,43.55456276,43.52340819,44.6397015,44.69922693,45.31734493,44.02544924,44.2563673,44.9546199,44.60700477,45.78251489,46.28434792,46.69714705,47.96955492,47.74002786,48.58176685,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.86362794,32.24038415,34.79371688,34.89431326,33.6113015,32.73975053,30.19968262,30.1829089,32.42630628,32.50631582,39.63683788,38.18923246,39.39817671,39.51769619,41.18897879,42.87198537,47.35261209,48.0958743,45.65857545,43.99356339,45.93583494,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.06161049,25.1524549,30.24024067,31.93152829,20.99237086,22.21235549,26.95981144,37.90757897,41.18298638,40.34746427,35.52672583,37.15684684,34.61187835,34.3382016,48.99067367,41.88702366,39.07583134,39.60494609,42.78491612,46.81392753,48.65988909,46.98099433,46.76262458,43.20690941,..,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.05528487,75.61690498,75.10732687,73.5559808,73.13745139,75.69758603,76.52254991,76.79312076,75.81474701,72.35997886,71.85339199,71.74205004,71.51493652,72.4929663,72.31401397,73.23857685,74.21682094,74.21269615,73.67478947,73.67428631,74.02353594,74.43421705,74.15312463,76.31445961,75.8545322,74.99441454,74.54420682,73.16336981,72.59407305,68.25971593,67.60772389,67.21949587,68.48820374,70.68795966,72.08020523,71.61605748,70.94839666,70.38686772,69.88088344,68.53056889,67.39000994,65.82056088,66.75312704,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Argentina,ARG,..,..,..,..,..,38.68135829,40.11709274,42.63620116,43.24265853,43.42715421,48.0836525,43.17878672,43.43347582,44.69502835,46.17635963,43.27476829,40.954084,44.10665582,46.3979525,48.17559806,52.42683251,53.1862536,49.30099531,49.78536853,51.94583523,53.08953817,54.81916247,54.07696627,52.5355207,48.03609224,55.85444764,60.56119851,63.32521644,61.05689761,61.59079292,62.26377967,61.35099555,60.8492831,61.53968561,63.48773052,63.46931344,65.08125733,54.77644565,51.03169425,47.83698829,48.48614593,48.74913337,49.50833078,50.2551922,53.306001,51.49518021,51.81190075,53.65811792,53.91909367,52.94054347,55.81490128,56.12223585,56.96779489,55.48437025,53.62625748,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.69893241,45.74975686,47.41304375,48.21266939,49.91050943,50.76525836,52.61630512,54.23383766,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.04837857,80.97104201,79.58303248,79.47848201,80.86036429,67.63779715,69.68068083,69.99171223,68.69159757,67.56161945,67.37396932,66.92900922,65.42108524,65.88933659,69.57026604,..,..,..,..,..,..,..,..,..,..,..
